Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2060000,1.326268,3.5594223,999,35.3792973,35.3792973,1
,,,,,,
2070000,1.3252183,3.6127574,999,40.73701577,40.73701577,1
,,,,,,
2080000,1.3251517,3.5088508,999,37.06676349,37.06676349,1
,,,,,,
2090000,1.3239313,3.6403174,999,41.04606644,41.04606644,1
,,,,,,
2100000,1.3239313,3.626262,999,32.72054928,32.72054928,1
,,,,,,
2110000,1.3231612,3.4804904,999,34.11037547,34.11037547,1
,,,,,,
2120000,1.3231385,3.4821181,999,31.47852114,31.47852114,1
,,,,,,
2130000,1.3230441,3.5237744,999,34.25387318,34.25387318,1
,,,,,,
2140000,1.3230312,3.5447288,999,39.95568556,39.95568556,1
,,,,,,
2150000,1.3226421,3.620719,999,38.19926161,38.19926161,1
,,,,,,
2160000,1.3225156,3.6025314,999,37.40644336,37.40644336,1
,,,,,,
2170000,1.3220668,3.6136422,999,36.11165633,36.11165633,1
,,,,,,
2180000,1.3218367,3.5989437,999,33.75180589,33.75180589,1
,,,,,,
2190000,1.3215011,3.6054282,999,32.5781174,32.5781174,1
,,,,,,
2200000,1.3212606,3.652887,999,41.88499373,41.88499373,1
,,,,,,
2210000,1.3207986,3.542403,999,34.20398529,34.20398529,1
,,,,,,
2220000,1.3202465,3.5076241,999,32.97939505,32.97939505,1
,,,,,,
2230000,1.3199797,3.6782856,999,37.31455097,37.31455097,1
,,,,,,
2240000,1.3195456,3.6132557,999,37.32148698,37.32148698,1
,,,,,,
2250000,1.3194159,3.6354728,999,35.78715827,35.78715827,1
,,,,,,
2260000,1.3190347,3.5914612,999,36.65131948,36.65131948,1
,,,,,,
2270000,1.3188969,3.6398516,999,34.78639306,34.78639306,1
,,,,,,
2280000,1.3182151,3.6789212,999,39.76444105,39.76444105,1
,,,,,,
2290000,1.3181431,3.7102218,999,39.36476947,39.36476947,1
,,,,,,
2300000,1.3171374,3.8048732,999,40.07135302,40.07135302,1
,,,,,,
2310000,1.3171374,3.6804624,999,34.91753472,34.91753472,1
,,,,,,
2320000,1.3167208,3.789095,999,40.91597337,40.91597337,1
,,,,,,
2330000,1.3167088,3.7383354,999,39.28989266,39.28989266,1
,,,,,,
2340000,1.3156476,3.7102463,999,35.73683578,35.73683578,1
,,,,,,
2350000,1.3154738,3.77394,999,35.50214648,35.50214648,1
,,,,,,
2360000,1.3154303,3.843415,999,39.66986015,39.66986015,1
,,,,,,
2370000,1.3154242,3.8050895,999,38.87629241,38.87629241,1
,,,,,,
2380000,1.3144766,3.8808663,999,40.59426028,40.59426028,1
,,,,,,
2390000,1.3139904,3.8826816,999,43.49409078,43.49409078,1
,,,,,,
2400000,1.3132961,3.8821113,999,40.89060262,40.89060262,1
,,,,,,
2410000,1.3127804,3.8951423,999,40.03888644,40.03888644,1
,,,,,,
2420000,1.3129865,3.899896,999,40.84782965,40.84782965,1
,,,,,,
2430000,1.3132446,3.809929,999,36.46617791,36.46617791,1
,,,,,,
2440000,1.313154,3.9389927,999,35.15115885,35.15115885,1
,,,,,,
2450000,1.3129807,3.8413289,999,37.53293257,37.53293257,1
,,,,,,
2460000,1.3129033,3.8811138,999,41.20626211,41.20626211,1
,,,,,,
2470000,1.3127086,3.8636959,999,41.14736564,41.14736564,1
,,,,,,
2480000,1.312604,3.776486,999,31.59687322,31.59687322,1
,,,,,,
2490000,1.3119705,3.9762058,999,41.14444406,41.14444406,1
,,,,,,
2500000,1.3119175,3.9379692,999,42.71884186,42.71884186,1
,,,,,,
2510000,1.3112652,3.9755597,999,37.154513,37.154513,1
,,,,,,
2520000,1.3112652,3.858283,999,39.79898381,39.79898381,1
,,,,,,
2530000,1.3107141,3.954403,999,40.45725042,40.45725042,1
,,,,,,
2540000,1.3106956,3.9852595,999,40.38810667,40.38810667,1
,,,,,,
2550000,1.3099073,3.9247258,999,37.77079574,37.77079574,1
,,,,,,
2560000,1.3097795,3.854022,999,37.94529723,37.94529723,1
,,,,,,
2570000,1.3091781,3.9637513,999,40.54967574,40.54967574,1
,,,,,,
2580000,1.3089886,3.859137,999,34.30749664,34.30749664,1
,,,,,,
2590000,1.3079995,3.912361,999,38.62572059,38.62572059,1
,,,,,,
2600000,1.307479,3.9240406,999,40.48174543,40.48174543,1
,,,,,,
2610000,1.3073891,3.8888268,999,35.73483737,35.73483737,1
,,,,,,
2620000,1.3073252,3.838819,999,33.27348909,33.27348909,1
,,,,,,
2630000,1.3073823,3.9255996,999,35.25999156,35.25999156,1
,,,,,,
2640000,1.3074416,3.9232204,999,42.45256808,42.45256808,1
,,,,,,
2650000,1.3074445,3.8719306,999,40.43678696,40.43678696,1
,,,,,,
2660000,1.3074588,3.9223258,999,38.29438511,38.29438511,1
,,,,,,
2670000,1.3072631,3.9828484,999,39.00095419,39.00095419,1
,,,,,,
2680000,1.3067323,3.879177,999,39.48216532,39.48216532,1
,,,,,,
